BuildPort,K,D,HHI,SD,SR
2008-07-08,-3,5,0.03802519985013063,0.18358859445695633,-0.0008312692452560023
2008-07-08,-1,5,0.03912061386496452,0.16502250757066425,-0.0042704609384367695
2008-07-08,0,5,0.047507152276121546,0.16344170936594546,-0.003033863758060679
2008-07-08,1,5,0.037807122211151234,0.1789427286760534,-0.002229196228960081
2008-07-08,3,5,0.04098790458496468,0.17558395919015432,-0.004403295802896432
2008-07-08,5,5,0.03294680882650181,0.1742434741972351,-0.0028280712972929855
2008-07-08,-5,10,0.03739337542697684,0.185004957285313,-0.0032712245512919952
2008-07-08,-3,10,0.04937189254270139,0.1600251714846071,-0.002414044314708324
2008-07-08,-1,10,0.040376317804312487,0.17284436397110203,-0.005717985747901939
2008-07-08,0,10,0.062421147034996224,0.1544860143897489,0.0004401136713278352
2008-07-08,1,10,0.03740795913288301,0.16535443884042367,-0.0006450351466796243
2008-07-08,3,10,0.03738014877760009,0.16826222783238573,-0.0006980620000709268
2008-07-08,5,10,0.037970756917945436,0.17352594734356575,-0.0027636226202246003
2008-07-08,-5,15,0.03003569374218243,0.18296344681690824,-0.0016467836298145848
2008-07-08,-3,15,0.03655693455266029,0.1691639369808672,-0.00156259605663107
2008-07-08,-1,15,0.045323045818874426,0.16259786458722417,-0.0011755475231678
2008-07-08,0,15,0.05043897545722502,0.14782944849342847,-0.0017178753976909216
2008-07-08,1,15,0.03208116654388728,0.1711769103447295,0.0008250593649787546
2008-07-08,3,15,0.03050217420552534,0.17916007937501943,-0.0011708527275172231
2008-07-08,5,15,0.036289811713056036,0.17912342014701407,-0.0035521725740758183
2008-08-07,0,0,0.04362952273665047,0.11567158477218946,-0.0399540732321985
2008-08-07,-5,-15,0.044428256117192505,0.17067507045318758,-0.027681795794852113
2008-08-07,-3,-15,0.044428256117192505,0.17067507045318758,-0.027681795794852113
